New Cases,Active Cases,Cured,Death,Cured,Death
9121,136872,10633025,155813,11500,98
11610,136549,10644858,155913,11833,100
12881,137342,10656845,156014,11987,101
13193,139542,10667741,156111,10896,97
13993,143127,10678048,156212,10307,101
14264,145634,10689715,156302,11667,90
14199,150055,10699410,156385,9695,83
10584,147306,10712665,156463,13255,78
13742,146907,10726702,156567,14037,104
16738,151708,10738501,156705,11799,138
16577,155986,10750680,156825,12179,120
16488,159590,10763451,156938,12771,113
32262,168627,10786457,157157,23006,219
12286,168358,10798921,157248,12464,91
14989,170126,10812044,157346,13123,98
17407,173413,10826075,157435,14031,89
35165,180304,10854128,157656,28053,221
18711,184523,10868520,157756,14392,100
18599,188747,10882798,157853,14278,97
15388,187462,10899394,157930,16596,77
17921,184598,10920046,158063,20652,133
22854,189226,10938146,158189,18100,126
48167,202022,10973260,158446,35114,257
25320,210544,10989897,158607,16637,161
26291,219262,11007352,158725,17455,118
24492,223432,11027543,158856,20191,131
28903,234406,11045284,159044,17741,188
35871,252364,11063025,159216,17741,172
39726,271282,11083679,159370,20654,154
40953,288394,11107332,159558,23653,188
43846,309087,11130288,159755,22956,197
46951,334646,11151468,159967,21180,212
40715,345377,11181253,160166,29785,199
47262,368457,11205160,160441,23907,275
53476,395192,11231650,160692,26490,251
121376,452647,11295023,161240,63373,548
62714,486310,11323762,161552,28739,312
68020,521808,11355993,161843,32231,291
56211,540720,11393021,162114,37028,271
53480,552566,11434301,162468,41280,354
72330,584055,11474683,162927,40382,459
81466,614696,11525039,163396,50356,469
89129,658909,11569241,164110,44202,714
93249,691597,11629289,164623,60048,513
103558,741830,11682136,165101,52847,478
96982,788223,11732279,165547,50143,446
115736,843473,11792135,166177,59856,630
126789,910319,11851393,166862,59258,685
131968,979608,11913292,167642,61899,780
145384,1046631,11990859,168436,77567,794
152879,1108087,12081443,169275,90584,839
168912,1201009,12156529,170179,75086,904
161736,1264698,12253697,171058,97168,879
184372,1365704,12336036,172085,82339,1027
200739,1471877,12429564,173123,93528,1038
217353,1569743,12547866,174308,118302,1185
234692,1679740,12671220,175649,123354,1341
261500,1801316,12809643,177150,138423,1501
273810,1929329,12953821,178769,144178,1619
259170,2031977,13108582,180530,154761,1761
295041,2157538,13276039,182553,167457,2023
314835,2291428,13454880,184657,178841,2104
332730,2428616,13648159,186920,193279,2263
346786,2552940,13867997,189544,219838,2624
349691,2682751,14085110,192311,217113,2767
352991,2813658,14304382,195123,219272,2812
323144,2882204,14556209,197894,251827,2771
360960,2978709,14817371,201187,261162,3293
379257,3084814,15086878,204832,269507,3645
386452,3170228,15384418,208330,297540,3498
401993,3268710,15684406,211853,299988,3523
392488,3349644,15992271,215542,307865,3689
368147,3413642,16293003,218959,300732,3417
357229,3447133,16613292,222408,320289,3449
382315,3487229,16951731,226188,338439,3780
412262,3566398,17280844,230168,329113,3980
414188,3645164,17612351,234083,331507,3915
401078,3723446,17930960,238270,318609,4187
403738,3736648,18317404,242362,386444,4092
366161,3745237,18671222,246116,353818,3754
329942,3715221,19027304,249992,356082,3876
348421,3704099,19382642,254197,355338,4205
362727,3710525,19734823,258317,352181,4120
0,3710525,19734823,258317,0,0
343144,3704893,20079599,262317,344776,4000
637268,3618458,20795335,270284,715736,7967
281386,3516997,21174076,274390,378741,4106
263533,3353765,21596512,278719,422436,4329
267334,3226719,21986363,283248,389851,4529
276110,3129878,22355440,287122,369077,3874
259551,3027925,22712735,291331,357295,4209
257299,2923400,23070365,295525,357630,4194
240842,2805399,23425467,299266,355102,3741
222315,2720716,23728011,303720,302544,4454
196427,2586782,24054861,307231,326850,3511
208921,2495591,24350816,311388,295955,4157
211298,2419907,24633951,315235,283135,3847
186364,2343152,24893410,318895,259459,3660
339343,2114508,25454320,325972,560910,7077
152734,2026092,25692342,329100,238022,3128
127510,1895520,25947629,331895,255287,2795
132788,1793645,26179085,335102,231456,3207
134154,1713413,26390584,337989,211499,2887
132364,1635993,26597655,340702,207071,2713
120529,1555248,26795549,344082,197894,3380
114460,1477799,26984781,346759,189232,2677
100636,1401609,27159180,349186,174399,2427
86498,1303702,27341462,351309,182282,2123
92596,1231415,27504126,353528,162664,2219
94052,1167952,27655493,359676,151367,6148
91702,1121671,27790073,363079,134580,3403
84332,1080690,27911384,367081,121311,4002
80834,1026159,28043446,370384,132062,3303
70421,973158,28162947,374305,119501,3921
60471,913378,28280472,377031,117525,2726
62224,865432,28388100,379573,107628,2542
67208,826740,28491670,381903,103570,2330
62480,798656,28580647,383490,88977,1587
60753,760019,28678390,385137,97743,1647
58419,729243,28766009,386713,87619,1576
53256,702887,28844199,388135,78190,1422
42640,662521,28926038,389302,81839,1167
50848,643194,28994855,390660,68817,1358
105736,612868,29128267,393310,133412,2650
48698,595565,29193085,394493,64818,1183
50040,586403,29251029,395751,57944,1258
46148,572994,29309607,396730,58578,979
37566,552659,29366601,397637,56994,907
45951,537064,29427330,398454,60729,817
48786,523257,29488918,399459,61588,1005
46617,509637,29548302,400312,59384,853
44111,495533,29605779,401050,57477,738
43071,485350,29658078,402005,52299,955
39796,482071,29700430,402728,42352,723
34703,464357,29752294,403281,51864,553
43733,459920,29799534,404211,47240,930
45892,460704,29843825,405028,44291,817
43393,458727,29888284,405939,44459,911
42766,455033,29933538,407145,45254,1206
41506,454118,29975064,408040,41526,895
37154,450899,30014713,408764,39649,724
31443,431315,30063720,410784,49007,2020
40255,429946,30104720,411408,41000,624
41806,432041,30143850,411989,39130,581
38949,430422,30183876,412531,40026,542
38079,424025,30227792,413091,43916,560
41157,422660,30269796,413609,42004,518
38164,421665,30308456,414108,38660,499
72108,407170,30390687,418480,82231,4372
41383,409394,30429339,418987,38652,507
153542,411189,30579106,420967,149767,1980
29689,398100,30621469,421382,42363,415
43654,399436,30663147,422022,41678,640
43509,403840,30701612,422662,38465,640
82294,417330,30769716,423362,68104,700
-34479,396745,30755519,423665,-14197,303
79895,410952,30820521,424351,65002,686
40134,413718,30857467,424773,36946,422
30549,404958,30896354,425195,38887,422
42625,410353,30933022,425757,36668,562
42982,411076,30974748,426290,41726,533
44643,414159,31015844,426754,41096,464
38628,412153,31055861,427371,40017,617
39070,406822,31099771,427862,43910,491
35499,402188,31139457,428309,39686,447
28204,388508,31180968,428682,41511,373
38353,386351,31220981,429179,40013,497
41195,387987,31260050,429669,39069,490
40120,385227,31302345,430254,42295,585
38667,387673,31338088,430732,35743,478
36083,385336,31376015,431225,37927,493
32937,381947,31411924,431642,35909,417
25166,369846,31448754,432079,36830,437
35178,367415,31485923,432519,37169,440
36401,364129,31525080,433049,39157,530
36571,363605,31561635,433589,36555,540
34457,361340,31597982,433964,36347,375
30948,353398,31636469,434367,38487,403
25072,333924,31680626,434756,44157,389
25467,319551,31720112,435110,39486,354
37593,322327,31754281,435758,34169,648
46164,333725,31788440,436365,34159,607
44658,344899,31821428,436861,32988,496
46759,359775,31852802,437370,31374,509
45083,368558,31888642,437830,35840,460
42909,376324,31923405,438210,34763,380
30941,370640,31959680,438560,36275,350
41965,378181,31993644,439020,33964,460
47092,389583,32028825,439529,35181,509
45352,399778,32063616,439895,34791,366
42618,405681,32100001,440225,36385,330
42766,410048,32138092,440533,38091,308
38948,404874,32181995,440752,43903,219
112360,393614,32304618,441749,122623,997
-43263,391256,32264051,441411,-40567,-338
43263,393614,32304618,441749,40567,338
66164,389903,32374027,442215,69409,466
28001,409416,32382355,442375,8328,160
2775,384921,32409345,442655,26990,280
27254,374269,32447032,442874,37687,219
25404,362207,32484159,443213,37127,339
27176,351087,32522171,443497,38012,284
-144518,342223,32389375,440639,-132796,-2858
245153,340639,32632222,444529,242847,3890
30773,332158,32671167,444838,38945,309
30256,318181,32715105,445133,43938,295
26115,309575,32749574,445385,34469,252
26964,301989,32783741,445768,34167,383
31923,301640,32815731,446050,31990,282
31382,300162,32848273,446368,32542,318
29616,301442,32876319,446658,28046,290
28326,303476,32902351,446918,26032,260
26041,299620,32931972,447194,29621,276
18795,292206,32958002,447373,26030,179
18870,282520,32986180,447751,28178,378
23529,277020,33014898,448062,28718,311
